"ID","IE","Inscription","Object Type","Inscription Type","Location","Low Date","High Date","Date","Date Span","Low Date Uncertain","High Date Uncertain","Notes"
"449","449","Dedication of an Aquaduct by an Uncertain Emperor","Base","Dedication","","117","138","127.5","21","TRUE","TRUE",""
"450","450","Dedicatory Architrave Concerning the Eleusinia","Base","Other/Uncertain","South Wall","117","138","127.5","21","TRUE","TRUE",""
"451","451","Dedication Concerning an Unknown Emperor","Base","Other/Uncertain","South Wall","101","200","150.5","99","TRUE","TRUE",""
"452","452","Architrave Fragment","Base","Other/Uncertain","","101","200","150.5","99","TRUE","TRUE",""
"453","453","Statue Base for the Deified Hadrian Panhellenios","Base","Dedication","Outer Courtyard","138","182","160","44","FALSE","FALSE",""
"454","454","Statue Base for an Unknown Hierophantis, Daughter of a Demetrios","Base","Dedication","","138","182","160","44","TRUE","TRUE",""
"455","455","Statue Base for L. Vipsanios Aiolion Phlyeus, Exegete of the Eumolpidai","Base","Dedication","","140","150","145","10","TRUE","FALSE",""
"456","456","Statue Base for Relative of L. Vipsanios Aiolion, Exegete of the Eumolpidai","Base","Dedication","","140","150","145","10","TRUE","FALSE",""
"457","457","Base Dedicated by the Samians","Base","Dedication","","140","150","145","10","TRUE","TRUE",""
"458","458","Statue Base for Iun. [-] Meletine, Daughter of Iun. Patron of Berenikidai, Hearth-Initiate","Base","Dedication","","140","150","145","10","FALSE","FALSE",""
"459","459","Statue Base for Nummia Kleo, Hearth-Initiate","Base","Dedication","","140","150","145","10","TRUE","FALSE",""
"460","460","Statue Base for Ti. Kl. Attikos of Marathon","Base","Dedication","","100","150","125","50","FALSE","FALSE",""
"701","461","Statue Base Galeria Annia Faustina Sebaste, Daughter of Emperor Antoninus and Wife of M. Aur. Verus","Base","Dedication","","146","160","153","14","FALSE","FALSE",""
"702","461","Statue Base for Domitia Lucilla, Daughter of M. Aur. Verus","Base","Dedication","","146","160","153","14","FALSE","FALSE",""
"462","462","Statue Base for Nummios Nigreinos, Hierokeryx","Base","Dedication","Before the Telestrion","145","155","150","10","FALSE","FALSE",""
"463","463","Statue Base for Menandra of Ephesos","Base","Dedication","","125","175","150","50","FALSE","FALSE",""
"464","464","Statue Base D. Iun. Menneas D. Iun. Patronos Berenikides","Base","Dedication","","125","175","150","50","FALSE","FALSE",""
"465","465","Statue Base for Phirmos Gargettios, Hierophant","Base","Dedication","Outer Courtyard","125","175","150","50","TRUE","TRUE",""
"466","466","Statue Base for D. Iun. Peiraieus, Hierophant","Column/Herm","Dedication","","125","175","150","50","TRUE","TRUE",""
"467","467","Statue Base for an Unknown Hearth-Initiate, Relative of the Daduch Ti. Kl. Lysiades","Base","Dedication","","125","175","150","50","TRUE","TRUE",""
"468","468","Statue Base for Ael. Praxagoras of Melite","Base","Dedication","","125","175","150","50","TRUE","TRUE",""
"469","469","Statue Base for an Unknown Individual","Base","Dedication","","125","175","150","50","TRUE","TRUE",""
"470","470","Statue Base for Klementiane, Daughter of Arrian","Base","Dedication","","150","200","175","50","TRUE","FALSE",""
"471","471","Statue Base for an Unknown Emperor","Base","Dedication","","150","200","175","50","TRUE","FALSE",""
"472","472","Statue Base for an Unknown Member of the Klaudii of Melite","Base","Dedication","","150","200","175","50","TRUE","TRUE",""
"691","473","Statue Base for Sergius Salvidius Orfitus, Dedicated by The Areopagus, Boule, and Demos","Base","Dedication","South Wall","150","160","155","10","FALSE","FALSE",""
"692","473","Statue Base for Calpurnia Lepida, Daughter of L., Wife of Scipio Orfitus, Dedicated by the Areopagus, Boule, and Demos","Base","Dedication","South Wall","150","160","155","10","FALSE","FALSE",""
"693","473","Statue Base for Sergius Calpurius Scipio Orfitus, Son of Scipio Orfitus, Dedicated by the Areopagus, Boule, and Demos","Base","Dedication","South Wall","150","160","155","10","FALSE","FALSE",""
"694","473","Statue Base for L. Calpurnius Scipio, son of Orfitus, Dedicated by the Areopagus, Boule, and Demos","Base","Dedication","South Wall","150","160","155","10","FALSE","FALSE",""
"474","474","Statue Base for P. Ael. Teimosthenes Berenikides, Son of Ael. Zenon, Hearth-Initiate","Base","Dedication","South Wall","150","160","155","10","FALSE","FALSE",""
"475","475","Statue Base for Elpinike, Daughter of Herodes Attikos, Hearth-Initiate","Base","Dedication","","150","160","155","10","FALSE","FALSE",""
"476","476","Statue Base for Regilla, Wife of Herodes Attikos","Base","Dedication","Before the Telestrion","155","165","160","10","FALSE","FALSE",""
"477","477","Statue Base for Ti. Kl. Appios Ateilios Bradoua, Son of Kl. Herodes, Hearth-Initiate","Base","Dedication","","160","165","162.5","5","TRUE","FALSE",""
"478","478","Statue Base for Ael. Praxagoras Themistokleous Meliteus","Base","Dedication","South Wall","160","170","165","10","FALSE","TRUE",""
"479","479","Statue Base for Aelius Praxagoras Themistokles Meliteus","Base","Dedication","South Wall","160","170","165","10","FALSE","TRUE",""
"480","480","Statue Base for an Unknown Son of P. Ael. Praxagoras Meliteus, Hearth-Initiate","Base","Dedication","South Wall","160","170","165","10","FALSE","TRUE",""
"481","481","Statue Base for Fl. Xenion Marathonsios, Hearth-Initiate, and Others","Base","Dedication","","160","170","165","10","FALSE","TRUE",""
"482","482","Altar(?) for the Health of M. Aurelius and L. Verus","Base","Dedication","","161","169","165","8","FALSE","FALSE",""
"483","483","Statue Base T. Fl. Hierophantes Paianieus, Son of T. Fl. Alkibiades","Base","Dedication","Before the Telestrion","162","172","167","10","FALSE","FALSE",""
"484","484","Dedicatory Verse in Honor of Herodes Attikos, Not from the Sanctuary","Base","Verse","","162","162","162","0","TRUE","TRUE",""
"485","485","Statue Base for M. Aur. Miltiades, Son of Agathokles of Marathon, Hearth-Initiate","Base","Dedication","","160","170","165","10","FALSE","FALSE",""
"695","486","Statue Base for the Savior Gods/Godesses of Brotherly Emperors, Dedicated by the Polis during the Epimelitea of Herodes","Base","Dedication","","166","176","171","10","FALSE","FALSE",""
"696","486","Statue Base for the Savior Gods/Godesses of the Brotherly Emperors, Dedicated By the Polis During the Epimelitea of Herodes","Base","Dedication","","166","176","171","10","FALSE","FALSE",""
"487","487","Statue Base for T. Fl. Euthykomas Paianieus","Altar","Dedication","","161","171","166","10","FALSE","FALSE",""
"488","488","Statue Base for T. Fl. Menandros Paianieus","Stele","Dedication","South Wall","161","171","166","10","FALSE","FALSE",""
"697","489","Decision of a Synhedrion","Base","Other/Uncertain","","169","170","169.5","1","FALSE","TRUE",""
"698","489","Declaration of the Prefect Severus Concerning an Endowment","Base","Other/Uncertain","","169","170","169.5","1","FALSE","TRUE",""
